Biosample_RunID	Reads	Bases	Avg_Length
SAMEA7724223_ERR5003910	889286	132089953	148.5348392
SAMEA7723964_ERR5002012	891098	133417145	149.722191
SAMEA7723421_ERR5003094	897018	133812785	149.1751392
SAMEA7724152_ERR5004586	901170	134060863	148.7631224
SAMEA7723424_ERR5001821	913308	136284186	149.220401
SAMEA7723424_ERR5003100	949546	141714651	149.2446401
SAMEA7723868_ERR5003611	967968	143818132	148.5773621
SAMEA7724223_ERR5004697	980724	145752373	148.6171165
SAMEA7724320_ERR5002139	992276	148625354	149.7822723
SAMEA7723630_ERR5003802	992680	147472480	148.5599388
SAMEA7723641_ERR5005221	997856	148462377	148.7813642
SAMEA7723892_ERR5003080	1002670	149361343	148.9636102
SAMEA7723948_ERR5004750	1011622	150115365	148.3907675
SAMEA7723973_ERR5002074	1014814	151833123	149.6167012
SAMEA7724268_ERR5004047	1021164	151728014	148.583395
SAMEA7724255_ERR5003304	1032194	154523246	149.7036855
SAMEA7723973_ERR5003353	1034364	154787779	149.6453657
SAMEA7723630_ERR5004589	1053298	156548441	148.6269232
SAMEA7723857_ERR5001752	1057728	158422941	149.7766354
SAMEA7724276_ERR5004055	1075616	159714549	148.4865872
SAMEA7723884_ERR5004423	1079196	151684349	140.5531053
SAMEA7723667_ERR5003872	1082324	160925360	148.6850148
SAMEA7723857_ERR5003032	1085240	162562264	149.7938373
SAMEA7723884_ERR5003636	1095618	153712300	140.2973482
SAMEA7724206_ERR5003893	1097942	162901320	148.3696953
SAMEA7723429_ERR5001828	1113330	166617052	149.6564828
SAMEA7723471_ERR5003955	1119816	166073986	148.304709
SAMEA7724268_ERR5004834	1128838	167797307	148.6460475
SAMEA7724380_ERR5004267	1129770	167897908	148.612468
SAMEA7723429_ERR5003107	1147890	171816452	149.6802411
SAMEA7723478_ERR5003966	1150436	171001154	148.6403016
SAMEA7724263_ERR5004829	1169202	173532942	148.4199839
SAMEA7724276_ERR5004842	1173006	174256551	148.5555496
SAMEA7723550_ERR5004286	1176046	174668027	148.5214243
SAMEA7724380_ERR5005054	1181558	175653507	148.6626192
SAMEA7723529_ERR5002111	1190080	178384347	149.8927358
SAMEA7723625_ERR5005188	1192258	177432309	148.8203971
SAMEA7724206_ERR5004680	1192990	177096783	148.4478353
SAMEA7723529_ERR5003390	1195506	179208831	149.9020758
